gesture,lm_0_x,lm_0_y,lm_0_z,lm_1_x,lm_1_y,lm_1_z,lm_2_x,lm_2_y,lm_2_z,lm_3_x,lm_3_y,lm_3_z,lm_4_x,lm_4_y,lm_4_z,lm_5_x,lm_5_y,lm_5_z,lm_6_x,lm_6_y,lm_6_z,lm_7_x,lm_7_y,lm_7_z,lm_8_x,lm_8_y,lm_8_z,lm_9_x,lm_9_y,lm_9_z,lm_10_x,lm_10_y,lm_10_z,lm_11_x,lm_11_y,lm_11_z,lm_12_x,lm_12_y,lm_12_z,lm_13_x,lm_13_y,lm_13_z,lm_14_x,lm_14_y,lm_14_z,lm_15_x,lm_15_y,lm_15_z,lm_16_x,lm_16_y,lm_16_z,lm_17_x,lm_17_y,lm_17_z,lm_18_x,lm_18_y,lm_18_z,lm_19_x,lm_19_y,lm_19_z,lm_20_x,lm_20_y,lm_20_z
NEUTRAL,0.0,0.0,0.0,-0.013890445232391357,-0.10045486688613892,0.003830860520764645,-0.04583287239074707,-0.1874879002571106,0.0010459510731095634,-0.09515434503555298,-0.2361762523651123,-0.0009529011086044648,-0.12817612290382385,-0.22228044271469116,-0.0026131254499262013,-0.10561347007751465,-0.1813448667526245,-0.021017193642393295,-0.17907610535621643,-0.1737005114555359,-0.025419864651695434,-0.16007983684539795,-0.15313386917114258,-0.024375781265035812,-0.13284793496131897,-0.1478387713432312,-0.022171635028854553,-0.12284207344055176,-0.12315142154693604,-0.02521424352838153,-0.18152374029159546,-0.11830335855484009,-0.02141884885443801,-0.16228753328323364,-0.10007697343826294,-0.01382789186848754,-0.13709312677383423,-0.09661233425140381,-0.011396242153779212,-0.13584819436073303,-0.06305426359176636,-0.026880655285850708,-0.17639854550361633,-0.06414788961410522,-0.02007326841069812,-0.15839093923568726,-0.04971647262573242,-0.007959043455258552,-0.1349993348121643,-0.044659197330474854,-0.003962486830488388,-0.14458125829696655,-0.003659069538116455,-0.028190487843886558,-0.1722685992717743,-0.014969885349273682,-0.020858421769872848,-0.15255188941955566,-0.002147197723388672,-0.007906906154886428,-0.13216662406921387,0.0039001107215881348,0.0006802694760779104
NEUTRAL,0.0,0.0,0.0,-0.01393204927444458,-0.10068875551223755,0.002891852069808465,-0.04527294635772705,-0.18763107061386108,-0.0006457065896370295,-0.09347140789031982,-0.2362840473651886,-0.0034086229129002277,-0.12531828880310059,-0.2248627245426178,-0.005771987357945818,-0.10623598098754883,-0.1804904341697693,-0.021834018392326016,-0.17885464429855347,-0.17274701595306396,-0.027247787205340046,-0.15879639983177185,-0.15296703577041626,-0.02717288838124432,-0.1312636137008667,-0.14790046215057373,-0.025605774236680645,-0.12311503291130066,-0.12155073881149292,-0.026061122057797093,-0.18125861883163452,-0.1173783540725708,-0.023202926603914875,-0.1617792546749115,-0.0999876856803894,-0.016157558871270794,-0.13659971952438354,-0.09636718034744263,-0.01403002229875483,-0.13584521412849426,-0.06097447872161865,-0.027927647096873898,-0.17599037289619446,-0.06245154142379761,-0.021807067779661793,-0.15786486864089966,-0.04882758855819702,-0.009722296831967014,-0.13449028134346008,-0.04391831159591675,-0.005607360260398764,-0.1443682312965393,-0.001510024070739746,-0.029568460522057194,-0.17168733477592468,-0.012584865093231201,-0.02254739285802998,-0.15197297930717468,-0.000803828239440918,-0.009548280140222687,-0.13173627853393555,0.004476070404052734,-0.0008686775540240887
NEUTRAL,0.0,0.0,0.0,-0.012901842594146729,-0.10056757926940918,0.0036097682872195946,-0.044104933738708496,-0.18698465824127197,0.0010358609118839013,-0.09263944625854492,-0.23660719394683838,-0.0008937293920325828,-0.12402236461639404,-0.22659525275230408,-0.002372038378439356,-0.10531103610992432,-0.18037712574005127,-0.019408103604860116,-0.17877322435379028,-0.17458009719848633,-0.02383372612769108,-0.15987443923950195,-0.15430432558059692,-0.023057263870782663,-0.13254106044769287,-0.1482357382774353,-0.020984681849427034,-0.12282207608222961,-0.12254464626312256,-0.023369549368567277,-0.1814454197883606,-0.11905044317245483,-0.019447142784542848,-0.16225558519363403,-0.10071086883544922,-0.012173528377957155,-0.13730347156524658,-0.09679728746414185,-0.009905774672574807,-0.13604187965393066,-0.062468767166137695,-0.024997862582154085,-0.17658361792564392,-0.06458896398544312,-0.018026412059612085,-0.15851548314094543,-0.05057668685913086,-0.006193095878757049,-0.13529419898986816,-0.04531830549240112,-0.0023419403611342204,-0.14491379261016846,-0.003107130527496338,-0.026335476492590715,-0.17182934284210205,-0.014543354511260986,-0.018809622679896165,-0.15227383375167847,-0.002538442611694336,-0.006189875365294029,-0.13226062059402466,0.0031980276107788086,0.002148689874388765
NEUTRAL,0.0,0.0,0.0,-0.013065695762634277,-0.10030978918075562,0.0030042714228670775,-0.04426759481430054,-0.1871035099029541,-0.0004530068814005972,-0.09297722578048706,-0.23646801710128784,-0.0032606540458459676,-0.1252230405807495,-0.22561824321746826,-0.005661153581570488,-0.10364490747451782,-0.1804814338684082,-0.02156738738773356,-0.17850083112716675,-0.17474299669265747,-0.027763262272458178,-0.15955638885498047,-0.1551857590675354,-0.027938138574938876,-0.13195106387138367,-0.14955872297286987,-0.026274425790290934,-0.12080106139183044,-0.12237155437469482,-0.025755001113395792,-0.1812768578529358,-0.11934792995452881,-0.023207001269440752,-0.16184267401695251,-0.10131341218948364,-0.015950595841388804,-0.13671466708183289,-0.09751886129379272,-0.013602292046527964,-0.1339758038520813,-0.06205928325653076,-0.027720805138926607,-0.1768873631954193,-0.06570583581924438,-0.022207975268941027,-0.1584760844707489,-0.051566362380981445,-0.009861542724650008,-0.13505464792251587,-0.04617750644683838,-0.005416366153042418,-0.14301347732543945,-0.002336561679840088,-0.029408771426062685,-0.17155054211616516,-0.015147805213928223,-0.023080741868000132,-0.15179455280303955,-0.00351792573928833,-0.010297129743378264,-0.13175055384635925,0.002332329750061035,-0.0017010463612336935
NEUTRAL,0.0,0.0,0.0,-0.012752413749694824,-0.10063439607620239,0.002760303367253414,-0.044095516204833984,-0.18827277421951294,-0.0004721389991715341,-0.09344649314880371,-0.23819765448570251,-0.002935273179460296,-0.12565010786056519,-0.22699105739593506,-0.004984273181904086,-0.10428661108016968,-0.181208074092865,-0.02119704529424382,-0.17845410108566284,-0.17614692449569702,-0.026881471348602304,-0.15922653675079346,-0.1561625599861145,-0.026695286927420625,-0.13160118460655212,-0.15023428201675415,-0.02491677559693528,-0.12137332558631897,-0.12367570400238037,-0.025143297461468705,-0.18114644289016724,-0.12044042348861694,-0.02221323743243886,-0.16140353679656982,-0.10226333141326904,-0.014701373016137609,-0.13617753982543945,-0.09844279289245605,-0.012229395171303281,-0.1342516541481018,-0.06376874446868896,-0.026895981354314813,-0.17627325654029846,-0.06615680456161499,-0.02110523365219308,-0.15747934579849243,-0.05198073387145996,-0.008834516701895723,-0.1337856948375702,-0.04678624868392944,-0.00451376156662775,-0.1429775357246399,-0.004209399223327637,-0.028438584951359758,-0.17060983180999756,-0.014840483665466309,-0.022102771399218568,-0.1505042016506195,-0.003306448459625244,-0.009641457421381006,-0.13020920753479004,0.0017681121826171875,-0.0013046597155295103
NEUTRAL,0.0,0.0,0.0,-0.01358938217163086,-0.10081791877746582,0.0044792301549279046,-0.04479306936264038,-0.18665534257888794,0.0016002794789784502,-0.09213995933532715,-0.2373482584953308,-0.0009655374389438975,-0.12424230575561523,-0.23011323809623718,-0.0033536662751174617,-0.10535264015197754,-0.18185186386108398,-0.020046108628932302,-0.17882752418518066,-0.17608588933944702,-0.025294809828821485,-0.15971308946609497,-0.15604138374328613,-0.025138928781572645,-0.1324225664138794,-0.14984411001205444,-0.02343511324686176,-0.12229982018470764,-0.12433624267578125,-0.024867494817200964,-0.18152832984924316,-0.12092840671539307,-0.0212481629506982,-0.16200050711631775,-0.10249197483062744,-0.013684242259088819,-0.13670605421066284,-0.09814023971557617,-0.011312131996575658,-0.13476499915122986,-0.06430745124816895,-0.027296233217541044,-0.17623168230056763,-0.06665289402008057,-0.02076397579473621,-0.157774418592453,-0.05199074745178223,-0.008316302898649042,-0.13407105207443237,-0.046087801456451416,-0.004042554873350923,-0.14293751120567322,-0.004538774490356445,-0.029386825154844587,-0.17064940929412842,-0.014749586582183838,-0.022564509178820913,-0.15051883459091187,-0.002823054790496826,-0.009682678844157522,-0.1300254464149475,0.002896428108215332,-0.0010594297138339925
NEUTRAL,0.0,0.0,0.0,-0.01358652114868164,-0.10044145584106445,0.003776755215952221,-0.04493987560272217,-0.18696296215057373,0.0006658903759699797,-0.09280258417129517,-0.2370862364768982,-0.0020030643470789755,-0.1261332929134369,-0.23033380508422852,-0.004412293402126011,-0.10551023483276367,-0.1827217936515808,-0.020536512104442295,-0.17866194248199463,-0.1772533655166626,-0.02617762234585541,-0.15962424874305725,-0.1567358374595642,-0.02638846260087746,-0.13226866722106934,-0.15065723657608032,-0.024879669738581356,-0.12240055203437805,-0.12469702959060669,-0.025080025164058384,-0.1814804971218109,-0.12131339311599731,-0.021916929600408253,-0.162183940410614,-0.10290855169296265,-0.01471736744569796,-0.13670668005943298,-0.09882557392120361,-0.012504093316962894,-0.13489237427711487,-0.06434762477874756,-0.027315240321328815,-0.1760251820087433,-0.06656086444854736,-0.021175544676950153,-0.15778112411499023,-0.05211198329925537,-0.009093471770754036,-0.13397040963172913,-0.046582162380218506,-0.0049612265691365565,-0.14322221279144287,-0.004302024841308594,-0.02925384227710026,-0.17059457302093506,-0.0150642991065979,-0.02272241000609654,-0.15044668316841125,-0.003384411334991455,-0.010076723029484924,-0.1297031044960022,0.0020897984504699707,-0.0015177285211365188
NEUTRAL,0.0,0.0,0.0,-0.01322239637374878,-0.10125035047531128,0.0032901499585165084,-0.04523581266403198,-0.18928402662277222,-4.117876186171543e-05,-0.09500426054000854,-0.23878955841064453,-0.002666479099829644,-0.12719175219535828,-0.22469836473464966,-0.005097944645498842,-0.10457408428192139,-0.1810603141784668,-0.02194052271759972,-0.17823728919029236,-0.17553162574768066,-0.027707607375745624,-0.15875792503356934,-0.15656673908233643,-0.02809649974322781,-0.13119754195213318,-0.15119171142578125,-0.026847331675057262,-0.12178030610084534,-0.12267768383026123,-0.026260272490148395,-0.18104931712150574,-0.12002795934677124,-0.022968056502108425,-0.16159939765930176,-0.10300523042678833,-0.01559161942667231,-0.1362784504890442,-0.09899049997329712,-0.01347967971331343,-0.13454803824424744,-0.06261414289474487,-0.02821473859465584,-0.17586612701416016,-0.06593281030654907,-0.021794601233963817,-0.1576496660709381,-0.052444398403167725,-0.009525000008110851,-0.1340467929840088,-0.046819984912872314,-0.005491801427965015,-0.14312875270843506,-0.003220200538635254,-0.02994937904394135,-0.17040765285491943,-0.014895498752593994,-0.022970388533835262,-0.1504502296447754,-0.0036548376083374023,-0.010149453657035679,-0.13009634613990784,0.0020408034324645996,-0.001752986579489857
NEUTRAL,0.0,0.0,0.0,-0.013012290000915527,-0.10146075487136841,0.0030513434962955444,-0.04596525430679321,-0.19049876928329468,-5.654558252388142e-05,-0.09665966033935547,-0.23960363864898682,-0.002270435326394704,-0.12925130128860474,-0.22348704934120178,-0.004270185594108966,-0.10525757074356079,-0.18296122550964355,-0.021705503453162578,-0.17884814739227295,-0.17586368322372437,-0.027351594407704738,-0.15991315245628357,-0.156194806098938,-0.027769449044612315,-0.13240346312522888,-0.15072780847549438,-0.026580641855147746,-0.12274765968322754,-0.12449651956558228,-0.025767455686477092,-0.1817948818206787,-0.12034446001052856,-0.022332894493487743,-0.16263547539710999,-0.10271233320236206,-0.015042484615591434,-0.13736775517463684,-0.09887528419494629,-0.012987409595993427,-0.13576534390449524,-0.06417840719223022,-0.02748862734868851,-0.17681163549423218,-0.0658072829246521,-0.02104295498564568,-0.1586233675479889,-0.051675379276275635,-0.008899756584909824,-0.13507607579231262,-0.046284019947052,-0.004944658715871242,-0.1444404423236847,-0.0045272111892700195,-0.02899467094674435,-0.17137601971626282,-0.014961302280426025,-0.02197008288338509,-0.15149623155593872,-0.0031891465187072754,-0.009239883971062568,-0.13136610388755798,0.0021091103553771973,-0.000907398579769847
NEUTRAL,0.0,0.0,0.0,-0.013513267040252686,-0.09990650415420532,0.004042123029350364,-0.04600536823272705,-0.18739324808120728,0.0014737954403898357,-0.09526550769805908,-0.23577207326889038,-0.00046522019722772257,-0.12874189019203186,-0.22531825304031372,-0.002230677935884273,-0.10482978820800781,-0.18372493982315063,-0.02057067672315327,-0.17859601974487305,-0.17468786239624023,-0.02599030355516163,-0.15961742401123047,-0.15315645933151245,-0.026410378465087092,-0.13216638565063477,-0.14714157581329346,-0.02520893509093014,-0.12212103605270386,-0.12615972757339478,-0.024968897873193896,-0.18106061220169067,-0.11917084455490112,-0.021243771487505114,-0.1617479920387268,-0.10021477937698364,-0.014030761034817374,-0.13635972142219543,-0.09634459018707275,-0.012063337439329302,-0.13526862859725952,-0.06614077091217041,-0.02698617609742371,-0.17623022198677063,-0.06465762853622437,-0.020312469401986277,-0.1580805778503418,-0.049284517765045166,-0.008262473107905066,-0.13451606035232544,-0.04380476474761963,-0.004388654088259614,-0.14457368850708008,-0.005842983722686768,-0.028712602281601107,-0.171314537525177,-0.01358652114868164,-0.021856736341149485,-0.1511932611465454,-0.0009260177612304688,-0.009322338686914122,-0.13077369332313538,0.0044782161712646484,-0.0009705058258333565
